Time,CPI rate,GDP_gap,ULC_rate,Imports_growth_rate,House_price_index,Share_price_index,Energy_price_index
1960-01-01,"1,50","28,55","1,46","7,1",,"3,29","11,01"
1960-04-01,"1,72","-21,85","2,37","2,9",,"3,27","10,96"
1960-07-01,"1,25","-38,82","2,17","-1,1",,"3,21","11,11"
1960-10-01,"1,36","-113,50","2,80","-3,3",,"3,12","11,16"
1961-01-01,"1,48","-124,81","2,61","-7,3",,"3,39","11,20"
1961-04-01,"0,90","-101,89","0,04","-6,8",,"3,60","10,96"
1961-07-01,"1,24","-72,03","-0,15","2,3",,"3,68","11,09"
1961-10-01,"0,67","-39,90","-1,39","10,0",,"3,75","11,09"
1962-01-01,"0,89","-13,68","-0,97","13,9",,"3,70","11,11"
1962-04-01,"1,34","-18,09","0,76","14,9",,"3,31","11,11"
1962-07-01,"1,22","-11,65","0,20","9,2",,"3,09","11,07"
1962-10-01,"1,33","-37,58","0,26","7,9",,"3,23","11,24"
1963-01-01,"1,22","-36,54","0,23","2,3",,"3,52","11,22"
1963-04-01,"1,10","-34,83","-0,29","2,5",,"3,73","11,07"
1963-07-01,"1,21","6,15","-0,02","3,8",,"3,74","11,14"
1963-10-01,"1,43","-9,79","0,82","2,2",,"3,91","11,17"
1964-01-01,"1,53","29,16","0,13","4,5",,"4,14","11,12"
1964-04-01,"1,31","29,59","0,59","4,4",,"4,28","11,07"
1964-07-01,"1,19","48,40","1,87","4,6",,"4,41","11,11"
1964-10-01,"1,08","18,50","1,93","7,7",,"4,53","11,12"
1965-01-01,"1,08","71,06","1,31","4,0",,"4,62","11,20"
1965-04-01,"1,72","79,63","1,52","13,7",,"4,65","11,32"
1965-07-01,"1,72","126,68","0,09","11,1",,"4,61","11,35"
1965-10-01,"1,82","178,63","-0,75","13,5",,"4,89","11,37"
1966-01-01,"2,35","237,65","0,68","20,8",,"4,93","11,42"
1966-04-01,"2,75","206,27","1,89","10,7",,"4,72","11,43"
1966-07-01,"3,27","196,58","4,17","16,4",,"4,36","11,52"
1966-10-01,"3,68","186,17","4,68","12,3",,"4,27","11,57"
1967-01-01,"3,02","178,23","3,18","11,2",,"4,72","11,66"
1967-04-01,"2,68","132,93","2,34","7,6",,"5,00","11,76"
1967-07-01,"2,66","127,41","1,99","3,2",,"5,19","11,78"
1967-10-01,"2,74","112,35","2,69","7,5",,"5,20","11,80"
1968-01-01,"3,85","156,33","4,47","12,0",,"5,06","11,86"
1968-04-01,"4,02","184,76","4,19","14,7",,"5,44","11,88"
1968-07-01,"4,48","170,32","4,87","20,0",,"5,55","11,96"
1968-10-01,"4,73","136,90","5,47","13,0",,"5,88","11,99"
1969-01-01,"4,78","162,01","5,07","-3,4",,"5,64","12,08"
1969-04-01,"5,50","128,03","6,49","14,0",,"5,62","12,27"
1969-07-01,"5,62","113,99","6,84","6,1",,"5,18","12,27"
1969-10-01,"5,93","45,02","6,95","5,9",,"5,22","12,31"
1970-01-01,"6,05","-5,36","8,44","16,5",,"4,91","12,35"
1970-04-01,"6,04","-39,57","6,76","-0,8",,"4,31","12,54"
1970-07-01,"5,68","-33,85","5,06","0,3",,"4,24","12,57"
1970-10-01,"5,60","-126,19","4,26","3,0",,"4,65","12,81"
1971-01-01,"5,00","-30,94","2,67","2,1",,"5,27","12,96"
1971-04-01,"4,40","-43,16","3,26","7,7",,"5,54","12,91"
1971-07-01,"4,35","-41,45","3,35","10,3",,"5,40","13,14"
1971-10-01,"3,45","-70,20","3,71","1,3",,"5,27","13,24"
1972-01-01,"3,43","-17,06","5,51","17,4",,"5,80","13,29"
1972-04-01,"3,14","59,84","3,60","5,3",,"5,95","13,31"
1972-07-01,"3,03","67,61","3,99","5,2",,"5,95","13,47"
1972-10-01,"3,50","114,70","3,56","17,9",,"6,18","13,64"
1973-01-01,"4,04","206,40","2,55","7,6",,"6,14","13,92"
1973-04-01,"5,53","221,06","4,33","8,4",,"5,63","14,28"
1973-07-01,"6,83","143,67","6,31","3,3",,"5,55","14,47"
1973-10-01,"8,25","149,11","6,38","-0,5",,"5,42","15,39"
1974-01-01,"9,94","50,75","8,45","-8,1",,"5,07","17,53"
1974-04-01,"10,55","14,89","9,57","-0,3",,"4,74","18,86"
1974-07-01,"11,44","-87,73","10,29","0,7",,"3,92","19,32"
1974-10-01,"12,20","-157,68","10,72","-1,0",,"3,63","19,30"
1975-01-01,"11,09","-272,83","9,68","-7,8","60,03","4,14","19,76"
1975-04-01,"9,68","-278,87","8,02","-19,5","60,98","4,68","20,34"
1975-07-01,"8,73","-228,49","5,28","-11,2","61,14","4,63","21,31"
1975-10-01,"7,25","-197,28","5,06","-5,6","62,22","4,66","21,57"
1976-01-01,"6,36","-112,93","3,79","11,5","62,85","5,25","21,65"
1976-04-01,"6,07","-115,81","4,27","26,5","65,45","5,36","21,87"
1976-07-01,"5,52","-130,74","5,04","21,5","66,53","5,52","22,49"
1976-10-01,"5,07","-135,72","5,21","19,2","67,22","5,44","22,92"
1977-01-01,"5,86","-114,57","6,09","17,5","69,49","5,48","23,64"
1977-04-01,"6,85","-47,35","6,46","13,7","72,73","5,35","24,27"
1977-07-01,"6,68","12,72","5,69","7,7","74,35","5,32","24,66"
1977-10-01,"6,61","-40,39","6,87","5,7","77,18","5,12","24,81"
1978-01-01,"6,61","-74,89","8,01","7,7","79,59","4,91","25,04"
1978-04-01,"6,96","114,13","6,31","7,1","82,74","5,32","25,61"
1978-07-01,"7,95","123,04","7,29","10,0","85,16","5,67","26,27"
1978-10-01,"8,94","154,04","6,18","9,9","87,49","5,37","26,65"
1979-01-01,"9,75","106,20","6,60","2,7","91,40","5,51","27,72"
1979-04-01,"10,74","55,45","9,02","3,0","94,45","5,66","30,77"
1979-07-01,"11,76","46,54","9,62","0,1","96,46","5,99","34,75"
1979-10-01,"12,66","13,14","9,98","0,9","98,24","5,94","36,37"
1980-01-01,"14,29","-11,95","9,18","1,2","100,00","6,25","40,22"
1980-04-01,"14,51","-195,01","10,93","-6,6","101,63","6,12","42,65"
1980-07-01,"12,87","-240,55","10,72","-12,0","104,44","7,02","43,50"
